year,title,theatre,capacity,gross, avg_cost ,seats_sold,performances,time,description
3/3/2019,Disney's Aladdin,New Amsterdam Theatre,98%," $ 1,157,167.20 ", $ 85.63 ,13514/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
"3/10,2019",Disney's Aladdin,New Amsterdam Theatre,97%,"$1,238,638.30 ", $ 91.96 ,13469/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
3/1/2020,Disney's Aladdin,New Amsterdam Theatre,96%," $ 1,092,062.60 ", $ 82.17 ,13290/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
3/8/2020,Disney's Aladdin,New Amsterdam Theatre,90%," $ 1,002,597.40 ", $ 80.39 ,12471/1727,8,2hr 30mins (1 intermission),"The musical comedy tells the story of Aladdin, a street urchin who meets and falls in love with Princess Jasmine. However, Jasmine can only marry a prince, but all is not lost as Aladdin owns a magic lamp, and with the help of its Genie sets out to win the hand of his princess in marriage."
3/3/2019,Chicago,Ambassador Theatre,69%," $ 461,881.25 ", $ 77.74 ,5941/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
"3/10,2019",Chicago,Ambassador Theatre,81%," $ 558,974.25 ", $ 80.00 ,6987/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
3/1/2020,Chicago,Ambassador Theatre,76%," $ 546,842.00 ", $ 83.65 ,6537/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
3/8/2020,Chicago,Ambassador Theatre,75%," $ 536,990.80 ", $ 83.07 ,6464/1080,8,2hr 30mins (1 intermission),"Chicago follows not your usual housewife, Roxie Hart, who gains dubious notoriety when she kills her boyfriend, invents her defense and manipulates everyone from her trustworthy husband to the fickle media and the unsuspecting public."
3/3/2019,Dear Evan Hansen,Music Box Theatre,98%," $ 1,195,638.27 ", $ 154.44 ,7742/984,8,2hr 30mins (1 intermission),"All his life Evan Hansen has felt invisible. To his peers, to the girl he loves, sometimes even to his own mother. But that was before he wrote the letter - that led to the incident - that started the lie - that ignited a movement - that inspired a community - and changed Evan's status from the ultimate outsider into the somebody everyone wants to know. But how long can Evan keep his secret? And at what price? A tribute to the outsider in us all, Dear Evan Hansen is about someone you know, maybe even someone you are, but more than anything, it's about discovering the person we all long to be - ourselves."
"3/10,2019",Dear Evan Hansen,Music Box Theatre,101%," $ 1,278,661.40 ", $ 160.19 ,7982/984,8,2hr 30mins (1 intermission),"All his life Evan Hansen has felt invisible. To his peers, to the girl he loves, sometimes even to his own mother. But that was before he wrote the letter - that led to the incident - that started the lie - that ignited a movement - that inspired a community - and changed Evan's status from the ultimate outsider into the somebody everyone wants to know. But how long can Evan keep his secret? And at what price? A tribute to the outsider in us all, Dear Evan Hansen is about someone you know, maybe even someone you are, but more than anything, it's about discovering the person we all long to be - ourselves."
3/1/2020,Dear Evan Hansen,Music Box Theatre,97%," $ 965,733.10 ", $ 126.44 ,7638/984,8,2hr 30mins (1 intermission),"All his life Evan Hansen has felt invisible. To his peers, to the girl he loves, sometimes even to his own mother. But that was before he wrote the letter - that led to the incident - that started the lie - that ignited a movement - that inspired a community - and changed Evan's status from the ultimate outsider into the somebody everyone wants to know. But how long can Evan keep his secret? And at what price? A tribute to the outsider in us all, Dear Evan Hansen is about someone you know, maybe even someone you are, but more than anything, it's about discovering the person we all long to be - ourselves."
3/8/2020,Dear Evan Hansen,Music Box Theatre,98%," $ 981,271.30 ", $ 126.62 ,7750/984,8,2hr 30mins (1 intermission),"All his life Evan Hansen has felt invisible. To his peers, to the girl he loves, sometimes even to his own mother. But that was before he wrote the letter - that led to the incident - that started the lie - that ignited a movement - that inspired a community - and changed Evan's status from the ultimate outsider into the somebody everyone wants to know. But how long can Evan keep his secret? And at what price? A tribute to the outsider in us all, Dear Evan Hansen is about someone you know, maybe even someone you are, but more than anything, it's about discovering the person we all long to be - ourselves."
3/3/2019,Frozen 2018,St. James Theatre,90%," $ 1,214,017.90 ", $ 100.08 ,12130/1684,8,2hr 15mins (1 intermission),"Inspired by Hans Christian Andersen's fairy tale The Snow Queen, the musical tells the story of fearless princess Anna who sets off on an epic journey alongside a rugged iceman, his loyal pet reindeer, and a naive snowman to find her estranged sister Elsa, whose icy powers have inadvertently trapped the kingdom in eternal winter."
"3/10,2019",Frozen 2018,St. James Theatre,91%," $ 1,360,355.50 ", $ 110.41 ,12321/1684,8,2hr 15mins (1 intermission),"Inspired by Hans Christian Andersen's fairy tale The Snow Queen, the musical tells the story of fearless princess Anna who sets off on an epic journey alongside a rugged iceman, his loyal pet reindeer, and a naive snowman to find her estranged sister Elsa, whose icy powers have inadvertently trapped the kingdom in eternal winter."
3/1/2020,Frozen 2018,St. James Theatre,91%," $ 925,094.10 ", $ 75.07 ,12323/1684,8,2hr 15mins (1 intermission),"Inspired by Hans Christian Andersen's fairy tale The Snow Queen, the musical tells the story of fearless princess Anna who sets off on an epic journey alongside a rugged iceman, his loyal pet reindeer, and a naive snowman to find her estranged sister Elsa, whose icy powers have inadvertently trapped the kingdom in eternal winter."
3/8/2020,Frozen 2018,St. James Theatre,81%," $ 798,610.40 ", $ 73.48 ,10869/1684,8,2hr 15mins (1 intermission),"Inspired by Hans Christian Andersen's fairy tale The Snow Queen, the musical tells the story of fearless princess Anna who sets off on an epic journey alongside a rugged iceman, his loyal pet reindeer, and a naive snowman to find her estranged sister Elsa, whose icy powers have inadvertently trapped the kingdom in eternal winter."
3/3/2019,Hamilton,Richard Rodgers Theatre,102%," $ 3,085,519.50 ", $ 286.94 ,10753/1321,8,2hr 55mins (1 intermission),"Hamilton tells the story of Alexander Hamilton - a scrappy young immigrant who forever changed America. From bastard orphan to Washington's right hand man, rebel to war hero, loving husband caught in the country's first sex scandal to Treasury head who made an untrusting world believe in the American economy, Hamilton is an exploration of a political mastermind. George Washington, Thomas Jefferson, Eliza Hamilton, and lifelong Hamilton friend and foe, Aaron Burr, all attend this revolutionary tale of America’s fiery past told through the sounds of the ever-changing nation we’ve become."
"3/10,2019",Hamilton,Richard Rodgers Theatre,102%," $ 3,188,375.00 ", $ 296.48 ,10754/1321,8,2hr 55mins (1 intermission),"Hamilton tells the story of Alexander Hamilton - a scrappy young immigrant who forever changed America. From bastard orphan to Washington's right hand man, rebel to war hero, loving husband caught in the country's first sex scandal to Treasury head who made an untrusting world believe in the American economy, Hamilton is an exploration of a political mastermind. George Washington, Thomas Jefferson, Eliza Hamilton, and lifelong Hamilton friend and foe, Aaron Burr, all attend this revolutionary tale of America’s fiery past told through the sounds of the ever-changing nation we’ve become."
3/1/2020,Hamilton,Richard Rodgers Theatre,102%," $ 2,696,189.00 ", $ 250.67 ,10756/1324,8,2hr 55mins (1 intermission),"Hamilton tells the story of Alexander Hamilton - a scrappy young immigrant who forever changed America. From bastard orphan to Washington's right hand man, rebel to war hero, loving husband caught in the country's first sex scandal to Treasury head who made an untrusting world believe in the American economy, Hamilton is an exploration of a political mastermind. George Washington, Thomas Jefferson, Eliza Hamilton, and lifelong Hamilton friend and foe, Aaron Burr, all attend this revolutionary tale of America’s fiery past told through the sounds of the ever-changing nation we’ve become."
3/8/2020,Hamilton,Richard Rodgers Theatre,102%," $ 2,688,721.00 ", $ 250.07 ,10752/1324,8,2hr 55mins (1 intermission),"Hamilton tells the story of Alexander Hamilton - a scrappy young immigrant who forever changed America. From bastard orphan to Washington's right hand man, rebel to war hero, loving husband caught in the country's first sex scandal to Treasury head who made an untrusting world believe in the American economy, Hamilton is an exploration of a political mastermind. George Washington, Thomas Jefferson, Eliza Hamilton, and lifelong Hamilton friend and foe, Aaron Burr, all attend this revolutionary tale of America’s fiery past told through the sounds of the ever-changing nation we’ve become."
3/3/2019,Mean Girls,August Wilson Theatre,89%," $ 935,842.30 ", $ 107.27 ,8724/1225,8,2hr 30mins (1 intermission),"Cady Heron may have grown up on an African savanna, but nothing prepared her for the wild and vicious ways of her strange new home: Illinois. How will this naпve newbie rise to the top of the popularity pecking order? By taking on The Plastics, a trio of lionized frenemies led by the charming but ruthless Regina George. But, when Cady devises a plan to end Regina's reign, she learns the hard way that you can't cross a Queen Bee without getting stung."
"3/10,2019",Mean Girls,August Wilson Theatre,96%," $ 1,133,871.10 ", $ 120.50 ,9410/1225,8,2hr 30mins (1 intermission),"Cady Heron may have grown up on an African savanna, but nothing prepared her for the wild and vicious ways of her strange new home: Illinois. How will this naпve newbie rise to the top of the popularity pecking order? By taking on The Plastics, a trio of lionized frenemies led by the charming but ruthless Regina George. But, when Cady devises a plan to end Regina's reign, she learns the hard way that you can't cross a Queen Bee without getting stung."
3/1/2020,Mean Girls,August Wilson Theatre,91%," $ 778,089.15 ", $ 87.69 ,8873/1125,8,2hr 30mins (1 intermission),"Cady Heron may have grown up on an African savanna, but nothing prepared her for the wild and vicious ways of her strange new home: Illinois. How will this naпve newbie rise to the top of the popularity pecking order? By taking on The Plastics, a trio of lionized frenemies led by the charming but ruthless Regina George. But, when Cady devises a plan to end Regina's reign, she learns the hard way that you can't cross a Queen Bee without getting stung."
3/8/2020,Mean Girls,August Wilson Theatre,88%," $ 775,193.45 ", $ 90.33 ,8582/1225,8,2hr 30mins (1 intermission),"Cady Heron may have grown up on an African savanna, but nothing prepared her for the wild and vicious ways of her strange new home: Illinois. How will this naпve newbie rise to the top of the popularity pecking order? By taking on The Plastics, a trio of lionized frenemies led by the charming but ruthless Regina George. But, when Cady devises a plan to end Regina's reign, she learns the hard way that you can't cross a Queen Bee without getting stung."
3/3/2019,The Book of Mormon,Eugene O'Neill Theatre,102%," $ 959,383.00 ", $ 112.20 ,8551/1047,8,2hr 30mins (1 intermission),The Book of Mormon follows a pair of mismatched Mormon boys sent on a mission to a place that’s about as far from Salt Lake City as you can get.
"3/10,2019",The Book of Mormon,Eugene O'Neill Theatre,103%," $ 1,019,387.50 ", $ 117.92 ,8645/1047,8,2hr 30mins (1 intermission),The Book of Mormon follows a pair of mismatched Mormon boys sent on a mission to a place that’s about as far from Salt Lake City as you can get.
3/1/2020,The Book of Mormon,Eugene O'Neill Theatre,95%," $ 896,999.50 ", $ 112.69 ,7960/1047,8,2hr 30mins (1 intermission),The Book of Mormon follows a pair of mismatched Mormon boys sent on a mission to a place that’s about as far from Salt Lake City as you can get.
3/8/2020,The Book of Mormon,Eugene O'Neill Theatre,98%," $ 929,168.30 ", $ 112.67 ,8247/1047,8,2hr 30mins (1 intermission),The Book of Mormon follows a pair of mismatched Mormon boys sent on a mission to a place that’s about as far from Salt Lake City as you can get.
3/3/2019,The Lion King ,Minskoff Thearte ,97%," $ 1,795,460.00 ", $ 137.12 ,13094/1696,8,2hr 30mins (1 intermission),The Lion King follows the epic adventures of a young lion cub named Simba as he struggles to accept the responsibilities of adulthood and his destined role as King of the Pridelands.
"3/10,2019",The Lion King ,Minskoff Thearte ,98%," $ 1,743,799.50 ", $ 130.49 ,13363/1696,8,2hr 30mins (1 intermission),The Lion King follows the epic adventures of a young lion cub named Simba as he struggles to accept the responsibilities of adulthood and his destined role as King of the Pridelands.
3/1/2020,The Lion King ,Minskoff Thearte ,91%," $ 1,414,593.50 ", $ 114.16 ,12391/1696,8,2hr 30mins (1 intermission),The Lion King follows the epic adventures of a young lion cub named Simba as he struggles to accept the responsibilities of adulthood and his destined role as King of the Pridelands.
3/8/2020,The Lion King ,Minskoff Thearte ,88%," $ 1,186,505.00 ", $ 99.05 ,11979/1696,8,2hr 30mins (1 intermission),The Lion King follows the epic adventures of a young lion cub named Simba as he struggles to accept the responsibilities of adulthood and his destined role as King of the Pridelands.
3/3/2019,The Phantom of the Opera,Majestic Theatre,64%," $ 645,804.56 ", $ 78.42 ,8235/1605,8,2hr 30mins (1 intermission),"A hideously deformed Phantom lurks beneath the stage of the Paris Opera, exercising a reign of terror over its occupants. The Phantom falls in love with the young Soprano devoting himself to creating a new star for the Opera by nurturing her extraordinary talents and employing all the skills at his disposal."
"3/10,2019",The Phantom of the Opera,Majestic Theatre,75%," $ 837,646.60 ", $ 87.17 ,9609/1605,8,2hr 30mins (1 intermission),"A hideously deformed Phantom lurks beneath the stage of the Paris Opera, exercising a reign of terror over its occupants. The Phantom falls in love with the young Soprano devoting himself to creating a new star for the Opera by nurturing her extraordinary talents and employing all the skills at his disposal."
3/1/2020,The Phantom of the Opera,Majestic Theatre,69%," $ 639,215.93 ", $ 72.18 ,8856/1605,8,2hr 30mins (1 intermission),"A hideously deformed Phantom lurks beneath the stage of the Paris Opera, exercising a reign of terror over its occupants. The Phantom falls in love with the young Soprano devoting himself to creating a new star for the Opera by nurturing her extraordinary talents and employing all the skills at his disposal."
3/8/2020,The Phantom of the Opera,Majestic Theatre,68%," $ 652,565.00 ", $ 74.95 ,8707/1605,8,2hr 30mins (1 intermission),"A hideously deformed Phantom lurks beneath the stage of the Paris Opera, exercising a reign of terror over its occupants. The Phantom falls in love with the young Soprano devoting himself to creating a new star for the Opera by nurturing her extraordinary talents and employing all the skills at his disposal."
3/3/2019,Wicked,Gershwin Theatre,91%," $ 1,350,938.00 ", $ 102.92 ,13126/1807,8,2hr 45mins (1 intermission),"The Broadway sensation Wicked looks at what happened in the Land of Oz…but from a different angle. Long before Dorothy arrives, there is another young woman, born with emerald-green skin, who is smart, fiery, misunderstood, and possessing an extraordinary talent. When she meets a bubbly blonde who is exceptionally popular, their initial rivalry turns into the unlikeliest of friendships…until the world decides to call one “good,” and the other one “wicked.”"
"3/10,2019",Wicked,Gershwin Theatre,98%," $ 1,555,919.00 ", $ 106.60 ,14596/1867,8,2hr 45mins (1 intermission),"The Broadway sensation Wicked looks at what happened in the Land of Oz…but from a different angle. Long before Dorothy arrives, there is another young woman, born with emerald-green skin, who is smart, fiery, misunderstood, and possessing an extraordinary talent. When she meets a bubbly blonde who is exceptionally popular, their initial rivalry turns into the unlikeliest of friendships…until the world decides to call one “good,” and the other one “wicked.”"
3/1/2020,Wicked,Gershwin Theatre,86%," $ 1,202,089.50 ", $ 96.33 ,12479/1807,8,2hr 45mins (1 intermission),"The Broadway sensation Wicked looks at what happened in the Land of Oz…but from a different angle. Long before Dorothy arrives, there is another young woman, born with emerald-green skin, who is smart, fiery, misunderstood, and possessing an extraordinary talent. When she meets a bubbly blonde who is exceptionally popular, their initial rivalry turns into the unlikeliest of friendships…until the world decides to call one “good,” and the other one “wicked.”"
3/8/2020,Wicked,Gershwin Theatre,90%," $ 52,216.50 ", $ 96.63 ,12981/1807,8,2hr 45mins (1 intermission),"The Broadway sensation Wicked looks at what happened in the Land of Oz…but from a different angle. Long before Dorothy arrives, there is another young woman, born with emerald-green skin, who is smart, fiery, misunderstood, and possessing an extraordinary talent. When she meets a bubbly blonde who is exceptionally popular, their initial rivalry turns into the unlikeliest of friendships…until the world decides to call one “good,” and the other one “wicked.”"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,https://www.newyorktheatreguide.com/whats-on/broadway/musicals,,,,,,,,
,https://www.playbill.com/grosses,,,,,,,,
,https://www.broadwayleague.com/research/grosses-broadway-nyc/,,,,,,,,